period_month,ug_name,uol1_name,uol2_name,servicel1_id,servicel1_name,issues_review_menor_7_dias,issues_en_revision_total,historias_fix_version_deploy,cantidad_historias_deploy,repos_activos_con_nomenclatura_estandar,total_repositorios_en_uso,promedio_tiempo_aprobacion_pr,promedio_tamano_pr,repos_gobernados_chimera_activos,promedio_tiempo_integracion,promedio_tiempo_builds,pipelines_ejecuciones_exitosas,pipelines_ejecuciones_totales,promedio_tiempo_reparacion_builds,repos_sonarqube_ok_activos,repos_conectados_sonarqube,items_pruebas_desplegados_xray,items_desplegados_totales
01-Jul,VENEZUELA,SYSTEMS,CORPORATE FUNCTIONS,692,FINANCE,11,12,1,1,4,4,0.05,181,4,2.17,30,9,15,6.5,1,1,9,9
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,MEDIOS DE PAGO,7,AR10 IMPUESTOS TC,8,8,11,12,9,9,0.47,124.5,6,1.81,20.5,11,11,15.5,10,12,7,7
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,WALLET & DIGITAL CHANNELS,50,AR04 MEDIOS ELECTRONICOS DE PAGOS - MOBILE,9,9,13,14,6,7,0.29,26,5,2.74,18,9,9,16,4,5,10,10
01-Jun,CIB,SW DELIVERY,EQUITIES,1170,DIGITAL DERIVATIVES: X-ASSET NOTES,9,10,9,9,10,11,0.46,55.5,7,1.47,28,7,7,27,11,13,15,15
01-Jun,RETAIL CLIENT SOLUTIONS,RETAIL,RETAIL - PAYMENTS,885,GP2 - TOHU,9,9,12,13,12,12,0.37,19.5,9,1.16,15,10,12,88.5,10,11,15,15
01-Aug,COMMERCIAL CLIENT SOLUTIONS,SUSTAINABILITY RELATIONSHIP MODELS & SPARK,BBVA SPARK,1046,HERRAMIENTAS SPARK,12,12,12,13,7,7,0.35,20.5,7,2.98,23,12,14,89,10,11,7,7
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,COMEX,3,AR16 COMERCIO EXTERIOR,11,12,5,5,9,10,0.12,31,8,2.85,16,10,11,111,14,15,7,7
01-Jul,GSD,GSD,PAYMENT,857,PASIVO,10,11,7,7,9,11,0.17,24.5,9,1.14,21,3,3,97,13,13,10,10
01-Aug,MEXICO,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,422,TALENT & CULTURE,8,8,10,11,5,5,0.35,27,4,2.31,26.5,8,9,88,9,9,9,9
01-Aug,MEXICO,SYSTEMS ENGINEERING,C&IB,453,ASSET MANAGEMENT,5,5,11,12,11,11,0.43,2.5,9,1.43,4,8,8,121,12,14,4,4
01-Aug,CFE,R&IC,,1269,REPORTING FRAUDE,8,9,8,9,8,8,1.25,22,7,1.54,6.5,9,11,116.5,12,12,9,9
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,SWF SEGUROS,28,AR14 INSURANCE SERVICES,5,6,2,2,9,9,0.27,11,7,2.28,17.5,6,7,61,10,12,10,10
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,77,EB03 CANALES EMPRESAS,10,11,10,11,11,12,0.36,47.5,10,1.59,39,13,13,12,14,14,6,6
01-Aug,ESPANA,SYSTEMS ENGINEERING,RETAIL CUSTOMERS SYSTEMS,297,BRANCH CHANNEL,9,9,11,12,11,13,0.25,48.5,7,1.67,2.5,9,10,84,15,15,12,12
01-Jun,CIB,SW DELIVERY,ACCOUNTING & CORE BANKING,1180,ACCOUNTING,14,15,14,15,7,9,0.19,90,8,1.81,31.5,13,13,92.5,10,11,15,15
01-Jun,ESPANA,SYSTEMS ENGINEERING,ALPHA,253,BACKEND,9,10,4,4,14,14,0.16,23,11,1.96,27.5,11,12,56.5,5,6,11,11
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,ADQUIRENCIA,2,PA05 BBVA ADQUIRENTE - TRANSACCIONALIDAD,6,6,14,15,13,14,0.09,30,8,2.09,11,10,10,2,10,12,3,3
01-Jun,CIB,SW DELIVERY,RISK,1173,MARKET DATA & RISK SOLUTIONS,10,10,10,11,9,12,0.09,94,8,2.18,11,10,11,33,8,10,9,9
01-Jun,COLOMBIA,SYSTEMS ENGINEERING,SEGUROS,578,BUSINESS CORE,5,5,5,6,4,6,0.1,4,6,1.13,21.5,5,6,86,14,14,10,10
01-Jun,GSD,GSD,ALPHA,851,OPERATIONAL DATA INFRASTRUCTURE,12,13,11,12,6,7,0.23,28.5,7,1.71,9.5,10,11,76.5,11,13,7,7
01-Aug,ESPANA,SYSTEMS ENGINEERING,INSURANCE AND ASSET MANAGEMENT SYSTEMS,283,INSURANCE - BACKOFFICE Y DATA,12,13,1,1,11,11,0.31,5.5,11,1.82,37,8,8,10.5,7,9,8,8
01-Jul,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,897,FINANZAS - DATA,2,2,8,9,9,9,0.51,3.5,7,1.5,20,8,9,81.5,7,8,15,15
01-Aug,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,1065,DIGITAL SIGNING,12,13,4,4,10,10,0.42,263.5,9,2.08,38.5,10,11,33.5,12,12,9,9
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,41,CF06 FINANCE / FINANZAS,11,12,7,7,10,10,0.32,17.5,8,1.8,22.5,13,14,21.5,9,10,10,10
01-Jun,ESPANA,DATA ENGINEERING,DATA HUB,845,RIESGOS & FINANZAS,3,3,13,14,11,13,1.38,82,6,2.24,5,12,13,23,6,6,3,3
01-Aug,PERU,SYSTEMS,ENTERPRISE,750,OPEN BANKING,13,14,11,12,11,11,1.2,105.5,10,1.35,32.5,12,12,53.5,11,13,9,9
01-Jun,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,840,HERRAMIENTAS DATA,14,15,8,8,13,14,0.42,47.5,14,2.63,44,12,14,51,3,3,9,9
01-Jun,MEXICO,SYSTEMS ENGINEERING,SYSTEMS STRATEGY & TRANSFORMATION,433,DEVOPS & SW DEVELOPMENT TOOLS,8,8,12,12,13,13,0.26,55,13,1.35,13,8,12,94,12,13,11,11
01-Jun,GSD,GSD,DEVOPS & SW DEV TOOLS,855,TESTING TOOLS,5,5,9,9,10,11,1.34,23,10,2.32,31,9,10,9.5,12,13,14,14
01-Jul,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,VAM SCF CARDS,1061,PIVOT - GLOBAL SUPPLY CHAIN FINANCE,6,6,12,13,11,11,0.12,15,6,1.96,19.5,6,7,35,13,13,12,12
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,COMEX,4,AR49 EXTRANJERO,11,12,8,9,9,11,0.97,76.5,11,2.91,17.5,7,9,12.5,8,10,7,7
01-Aug,PERU,DATA,DATAHUB,901,DATIO ENGINEERING,14,15,10,11,7,7,0.5,27,5,2.33,32.5,10,10,113,9,9,9,9
01-Aug,CIB,DATA ENGINEERING,RISK DATA,1146,GM RISK DATA,4,4,10,11,6,8,0.3,17.5,7,1.53,17,11,11,28,5,7,14,14
01-Jul,CFE,FINANCE,,1272,INVEST & COST MANAGEMENT,10,11,5,5,14,14,0.03,93.5,14,2.57,19.5,9,11,77.5,4,6,6,6
01-Jun,ESPANA,SYSTEMS ENGINEERING,CONSUMER FINANCE SYSTEMS,258,CONSUMER FINANCE CHANNEL,14,15,1,1,11,12,0.14,82.5,12,1.73,39,7,7,51,11,13,10,10
01-Jun,ESPANA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS SYSTEMS,293,RIESGOS DE CREDITO,7,7,7,7,10,10,0.06,24,10,1.33,24.5,8,11,25,14,14,11,11
01-Aug,ESPANA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS SYSTEMS,292,REPORTING NORMATIVO,14,15,8,9,9,14,1.22,16,13,1.87,27,7,7,19,13,13,10,10
01-Jul,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,836,DE PLATAFORMA INFORMACIONAL HOLDING (HIS Y MAESTROS),13,14,13,13,14,15,0.41,9.5,15,2.46,20.5,10,11,114,13,14,11,11
01-Jul,COLOMBIA,SYSTEMS ENGINEERING,CIB & COMEX - FIDUCIARIA - VALORES,560,VALORES,7,7,12,13,5,7,0.16,220,7,1.93,3.5,11,12,117.5,6,8,11,11
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,49,CF07 PROCUREMENT,8,8,10,11,9,14,0.07,55,13,3.57,9,8,9,41,6,6,9,9
01-Jul,URUGUAY,SYSTEMS ENGINEERING,,671,CHANNELS,10,11,1,1,2,2,1.42,19.5,1,2.05,18.5,10,10,2.5,12,14,13,13
01-Aug,GSD,GSD,PAYMENT,858,PAYMENT AUTHORIZATION,12,12,14,15,5,6,0.22,4,4,2.51,6,10,10,72,7,8,7,7
01-Jul,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,442,DIGITAL SMEs,11,12,10,11,3,3,0.14,6.5,3,2.48,43.5,7,8,58,10,10,12,12
01-Jul,ESPANA,SYSTEMS ENGINEERING,RETAIL CUSTOMERS SYSTEMS,251,OPERATIONAL CRM,11,11,12,12,13,13,0.07,8,10,2.27,25.5,8,9,73.5,11,11,12,12
01-Jul,MEXICO,SYSTEMS ENGINEERING,C&IB,458,OTC & RISK,13,14,12,12,14,14,0.3,24.5,12,1.97,3,6,8,60,14,15,2,2
01-Aug,CFE,T&C,,1256,WORKFORCE RECRUITING-TALENT,13,14,13,14,3,4,0.4,30,2,1.54,28.5,14,14,27.5,12,12,13,13
01-Aug,CFE,RISK,,1251,OTHER RISKS,4,4,13,14,3,3,0.23,19.5,3,2.29,34.5,5,7,17,8,9,12,12
01-Jun,COMMERCIAL CLIENT SOLUTIONS,SUSTAINABILITY RELATIONSHIP MODELS & SPARK,SUSTAINABILITY,1051,SUSTAINABILITY - COMMERCIAL,14,15,10,10,14,14,1.49,29.5,12,2.64,5.5,13,15,27.5,12,12,2,2
01-Jul,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,429,MERCHANTS,3,3,11,12,7,8,1.33,7.5,8,2.86,5.5,6,6,63,10,11,14,14
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,43,AR18 AUTOMATIZACION DE PROCESOS,7,8,4,4,14,14,0.03,1,12,2.6,19,10,14,80.5,5,6,7,7
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,CORE PRODUCTS,59,AR24 PEOPLE LEGACY,11,12,10,11,4,5,0.51,50,5,1.56,43.5,10,10,19,7,7,11,11
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,70,AR42 ETPB,8,8,13,14,11,11,0.42,26.5,11,2.81,12.5,10,11,122,8,10,8,8
01-Aug,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,VAM SCF CARDS,1060,PIVOT - COMMERCIAL CARD,11,12,6,7,7,7,0.08,2.5,5,2.42,0.5,13,14,76.5,10,11,11,11
01-Jul,PERU,SYSTEMS,ENTERPRISE,750,OPEN BANKING,7,7,8,8,13,13,0.28,4.5,11,2.18,37.5,6,6,10.5,11,13,9,9
01-Jun,CFE,FINANCE,,1271,CONSOLIDACION REPORTING Y FISCAL,12,13,12,13,11,13,0.12,31,11,1.23,16.5,12,13,6,10,14,14,14
01-Jun,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,836,DE PLATAFORMA INFORMACIONAL HOLDING (HIS Y MAESTROS),9,10,9,9,11,15,0.34,55.5,14,1.22,34.5,13,14,88.5,8,9,9,9
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,48,CF03 LEGAL,6,6,10,11,9,11,0.01,25.5,10,1.29,29.5,11,12,18,14,15,9,9
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,VENTAS,36,AR40 PRODUCTIVIDAD,7,7,12,13,13,13,0.4,25.5,11,2.75,31.5,8,9,66,6,7,10,10
01-Jul,GSD,GSD,PAYMENT,860,TRACKING PAYMENT,11,11,14,15,11,15,0.03,4.5,15,1.24,2,13,13,89,5,7,14,14
01-Jul,COLOMBIA,DATA TRANSFORMATION & ENGINEERING,DATAHUB,895,DATA MODELING & DEVELOPMENT,12,13,11,12,5,7,0.4,50,5,2.66,3.5,6,7,76,14,14,5,5
01-Aug,URUGUAY,SYSTEMS ENGINEERING,,671,CHANNELS,13,14,13,13,15,15,0.02,48.5,9,2.51,18,3,4,58,10,12,6,6
01-Aug,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,446,SPECIALIZED PRODUCTS,13,14,9,10,6,8,0.49,17.5,8,1.28,1.5,8,9,21,9,14,13,13
01-Jul,ESPANA,SYSTEMS ENGINEERING,ENTERPRISE CLIENTS SYSTEMS,326,FINANCIACON ESPECIALIZADA,13,14,9,9,11,13,0.4,20.5,11,1.84,7.5,7,7,69,14,15,15,15
01-Jul,CIB,SW DELIVERY,GLOBAL MARKETS FRONT OFFICE,1189,CIB ONLINE INTEGRATION,8,9,7,7,8,8,1.43,15,7,1.01,3,11,12,105.5,6,7,6,6
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,PRODUCTOS RETAIL,22,AR39 PRESTAMOS PERSONALES,12,13,12,13,5,5,1.43,11.5,4,1.07,24,7,7,98,7,7,11,11
01-Jul,ESPANA,SYSTEMS ENGINEERING,INSURANCE AND ASSET MANAGEMENT SYSTEMS,281,ASSET MANAGEMENT - MIDDLE OFFICE,10,11,5,5,9,9,0.8,77,9,1.62,26,12,15,93.5,12,12,8,8
01-Jun,COLOMBIA,SYSTEMS ENGINEERING,SALESFORCE,593,SALESFORCE,7,7,7,8,5,5,0.21,10,3,3.86,5.5,6,6,25.5,9,9,4,4
01-Jul,MEXICO,SYSTEMS ENGINEERING,PAYMENTS SYSTEMS,430,METHODS,12,13,7,8,8,8,0.05,226,7,3.12,10.5,9,9,70.5,9,10,5,5
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,MEDIOS DE PAGO,8,AR11 ABM,9,10,1,2,2,3,0.68,17.5,3,3.4,6,11,13,26,9,9,9,9
01-Jun,ESPANA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS SYSTEMS,291,IMPAGO Y COBERTURAS,14,15,13,14,8,8,0.65,26,8,1.97,20.5,5,6,38.5,12,14,14,14
01-Aug,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,EMBEDDED FINANCE,1072,PLATAFORMA API CHANNEL,5,5,10,11,8,8,0.12,72,7,2.72,32,11,13,30,4,5,10,10
01-Jul,CIB,SW DELIVERY,RISK,1173,MARKET DATA & RISK SOLUTIONS,11,12,5,5,7,9,0.04,20,7,2.23,8.5,9,9,118,4,6,14,14
01-Aug,CFE,FINANCE,,1271,CONSOLIDACION REPORTING Y FISCAL,12,13,11,12,12,12,0.16,42.5,10,1.47,20.5,11,12,97,9,11,15,15
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,VENTAS,34,AR32 MOTOR DE RIESGOS,12,13,12,13,8,8,0.06,133.5,7,1.88,40,13,13,39,12,13,12,12
01-Jun,COLOMBIA,SYSTEMS ENGINEERING,CORE,566,PROCESS AUTOMATION,14,15,9,10,9,11,0.41,82.5,10,2.27,32,12,13,75.5,9,10,11,11
01-Aug,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,842,VISUAL CLIENT,13,13,14,15,5,5,0.15,45.5,4,2.72,13.5,7,7,123,6,7,10,10
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,MEDIOS DE PAGO,5,AR06 COBRANZAS EMISION TC,13,14,9,9,13,15,0.2,26,9,2.51,31,7,8,22,6,6,11,11
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,MEDIOS DE PAGO,9,AR12 CONTABILIDAD TC,3,3,14,15,7,14,0.33,8.5,12,2.66,25.5,13,13,10.5,7,9,9,9
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,74,AR46 GEMA ARG,13,14,9,10,10,11,0.34,43,10,2.14,38,10,11,11,14,15,13,13
01-Jul,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,LIQUIDITY MANAGEMENT,1057,PIVOT CONNECT,13,14,8,9,7,9,0.04,237.5,9,1.31,13,8,12,33.5,9,9,7,7
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,71,AR43 OPEN BANKING EMPRESAS,9,9,9,9,10,12,0.43,9.5,10,2.36,14.5,9,14,47,9,10,9,9
01-Jun,VENEZUELA,SYSTEMS,BANKING SYSTEMS,688,ASSET MANAGEMENT,13,14,7,8,7,7,0.33,65.5,7,2.33,11,10,12,74.5,6,8,10,10
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,TRANSFORMACION Y CALIDAD OPERATIVA,31,PROCESS SYSTEMS ARG,7,7,12,13,11,14,0.5,2.5,13,1.04,14,9,11,69,9,11,12,12
01-Aug,COLOMBIA,SYSTEMS ENGINEERING,CFS-RIESGOS,583,RIESGOS COBRANZA,9,10,9,10,2,2,0.3,1,1,1.74,8.5,11,14,81.5,12,12,13,13
01-Jun,ESPANA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS SYSTEMS,292,REPORTING NORMATIVO,10,10,10,11,5,6,0.43,25.5,5,2.67,22,10,12,108.5,12,13,7,7
01-Aug,COLOMBIA,SYSTEMS ENGINEERING,RETAIL,571,ANTIFRAUDE,13,14,10,11,7,9,0.05,5,7,1.95,32.5,12,14,103,13,13,12,12
01-Aug,PERU,DATA,DATAHUB,899,DATIO CIB/T&C/RIC,7,8,7,8,1,2,0.26,12,2,2.04,0.5,8,9,106.5,8,9,6,6
01-Aug,GSD,GSD,SECURITY GSD,861,S-SDLC PROCESSES GLOBAL,12,13,6,6,13,13,0.18,12.5,9,1.38,38,15,15,7,9,9,10,10
01-Jun,ESPANA,SYSTEMS ENGINEERING,ENTERPRISE CLIENTS SYSTEMS,260,COMEX,14,15,10,11,7,9,0.35,8.5,9,1.93,11,10,10,109,8,9,13,13
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,CORE PRODUCTS,61,AR26 SERVICIOS PASIVOS,10,10,14,15,7,8,0.14,17.5,8,2,4,4,5,24,9,11,6,6
01-Jul,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,GLOBAL CHANNELS,1076,PIVOT NET,5,5,5,5,8,10,0.8,17,10,1.12,30.5,9,10,69,10,12,9,9
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,76,EB02 ENTERPRISE MOBILE / MOVILES EMPRESAS,8,8,14,15,10,14,0.26,15.5,13,1.15,28,9,10,66.5,10,12,5,5
01-Jun,CIB,SW DELIVERY,ACCOUNTING & CORE BANKING,1181,CORE BANKING,4,4,10,11,9,9,0.14,29.5,7,1.75,5.5,4,5,44.5,11,12,6,6
01-Aug,PERU,SYSTEMS,RETAIL,763,BRANCHES & SALES ADVISORY,4,4,11,11,14,14,0.45,10.5,12,1.89,34.5,3,3,23,3,5,9,9
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,74,AR46 GEMA ARG,11,12,10,11,10,12,1.21,30,12,1.08,31.5,12,12,65,7,8,6,6
01-Jun,ESPANA,SYSTEMS ENGINEERING,CORE BANKING PRODUCTS,267,FINANCIACION,12,13,11,12,11,11,0.46,9,6,1.77,28.5,12,14,25,11,11,9,9
01-Jun,PERU,SYSTEMS,RETAIL,766,WEB Y PORTALES,14,15,9,10,10,10,0.05,55,9,1.81,38.5,9,9,89,3,3,14,14
01-Jun,CIB,DATA ENGINEERING,DATA HUB,1150,CIB DATAHUB & EXECUTION,12,13,10,11,9,9,0.28,79.5,8,1.37,1.5,5,6,114,13,15,11,11
01-Aug,PERU,DATA,DATAHUB,903,DATIO RIESGOS,6,6,10,11,10,11,0.31,229.5,7,2.97,16,8,9,38.5,3,4,10,10
01-Jun,DATA ENGINEERING,DATA ENGINEERING,DATA HUB,839,GDH ALPHA,8,8,8,9,5,6,0.11,61,6,1.99,44,10,10,21.5,5,6,8,8
01-Aug,CFE,R&IC,,1268,CROSS DATA & AML,14,15,9,10,10,11,0.99,19,7,2.19,21,15,15,77.5,7,7,6,6
01-Jul,ESPANA,SYSTEMS ENGINEERING,CORE BANKING PRODUCTS,267,FINANCIACION,14,15,5,5,10,12,0.22,28,7,3.21,5,14,14,32,7,8,14,14
01-Jul,PERU,SYSTEMS,LOANS,742,LOANS OTHER PRODUCTS,12,13,10,10,12,12,0.58,21.5,11,2.11,5,11,13,120,13,14,7,7
01-Aug,MEXICO,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,416,AACC,13,14,11,12,10,11,0.08,12.5,10,1.02,11,11,13,80,9,14,12,12
01-Aug,RETAIL CLIENT SOLUTIONS,RETAIL,RETAIL-PRESCRIPTION BUSINESS,888,CONSUMER FINANCE,10,11,1,2,2,4,0.49,12.5,4,1.34,24,12,13,62.5,13,15,10,10
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,TRANSFORMACION Y CALIDAD OPERATIVA,31,PROCESS SYSTEMS ARG,7,8,7,7,11,12,0.06,41.5,10,2.49,16.5,9,13,70,13,13,5,5
01-Aug,COLOMBIA,SYSTEMS ENGINEERING,SEGUROS,580,SEGUROS FINANCIERO,10,11,7,7,11,12,0.5,57,11,1.53,31.5,3,3,78.5,6,8,11,11
01-Jun,RETAIL CLIENT SOLUTIONS,CROSS,DIGITAL ASSETS,892,DIGITAL ASSETS,13,14,10,11,9,9,0.25,98.5,7,2.22,7,12,14,79.5,10,13,10,10
01-Jul,PERU,SYSTEMS,CROSS SYSTEMS,746,INSURANCE DISTRIBUTION,11,11,11,12,11,12,0.45,261.5,6,1.74,13.5,12,14,71.5,11,12,6,6
01-Jun,VENEZUELA,SYSTEMS,CHANNELS,698,RETAIL WEB & MOBILE,9,9,11,12,2,2,0.04,17.5,2,2.11,40.5,12,14,18.5,9,10,3,3
01-Jul,CIB,DATA ENGINEERING,DATA HUB,1150,CIB DATAHUB & EXECUTION,8,9,8,8,9,9,0.07,16,8,1.29,5.5,9,14,30,5,7,11,11
01-Jun,CFE,RISK,,1252,PROVISIONES,13,14,12,13,13,14,0.37,23,14,1.58,34.5,7,9,71.5,10,10,12,12
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,CANALES EMPRESAS,72,AR44 PLATAFORMA SENDA ARG,14,15,14,15,14,15,0.36,16.5,13,2.31,22.5,12,12,71.5,8,10,13,13
01-Jun,PERU,DATA,DATAHUB,903,DATIO RIESGOS,12,13,11,12,4,4,0.48,11,4,1.88,16,8,13,62,10,11,6,6
01-Jun,COMMERCIAL CLIENT SOLUTIONS,VALUE PROPOSITION,VAM SCF CARDS,1062,PIVOT - VIRTUAL ACCOUNTS,12,12,12,13,3,3,0.5,6.5,1,1.04,33.5,11,12,59,6,6,11,11
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,CORE PRODUCTS,55,AR20 LOANS / PRESTAMOS,7,7,8,9,8,8,0.1,19,7,3.42,33,9,9,92.5,6,7,4,4
01-Jun,ESPANA,SYSTEMS ENGINEERING,CORE BANKING PRODUCTS,269,"VALORES, FONDOS INTERNACIONALES, DEPOSITARIA Y ACCIONISTAS",13,14,11,12,10,11,0.3,18.5,9,3.02,32,9,9,51,8,9,10,10
01-Jun,COMMERCIAL CLIENT SOLUTIONS,CHANNELS & PROCESSES,COREX & BANKING PLATFORM EVOLUTION,1066,FACTORIA ENTERPRISE CLIENTS AMERICA,11,11,12,12,13,14,0.2,173.5,11,2.85,32,11,12,57,7,9,10,10
01-Jul,CIB,SW DELIVERY,ACCOUNTING & CORE BANKING,1180,ACCOUNTING,9,9,12,13,8,8,0.46,26.5,8,2.48,4.5,11,12,122.5,11,14,7,7
01-Aug,CIB,SW DELIVERY,FOREIGN EXCHANGE,1186,BOOKING & SETTLEMENT,5,5,8,9,6,7,0.28,34,7,1.47,50,6,6,35,9,9,11,11
01-Jun,URUGUAY,SYSTEMS ENGINEERING,,671,CHANNELS,13,14,8,9,6,7,0.42,29.5,6,2.69,29,5,6,61.5,11,12,7,7
01-Jul,COLOMBIA,SYSTEMS ENGINEERING,CIB & COMEX - FIDUCIARIA - VALORES,558,GLOBAL MARKET & COMEX,14,15,11,12,6,8,0.09,23,8,1.3,34.5,6,7,30,6,8,12,12
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,MEDIOS DE PAGO,6,AR07 TARJETA DE DEBITO,11,12,1,1,10,12,0.49,16.5,11,2.45,36.5,10,11,26.5,12,12,12,12
01-Jul,MEXICO,SYSTEMS ENGINEERING,RETAIL,435,CRM,12,13,8,9,3,5,0.12,38.5,3,2,33,5,5,33.5,14,15,9,9
01-Jul,PERU,SYSTEMS,RISK,739,RISKS,11,12,9,9,10,10,0.46,9.5,10,2.4,1,8,12,83,8,10,6,6
01-Jul,MEXICO,SYSTEMS ENGINEERING,ENTERPRISE,440,API CHANNEL,14,15,12,13,10,13,0.23,14,7,2.47,32.5,9,10,24,13,13,15,15
01-Jul,CFE,AUD.LEGAL&CHAIRMAN UNITS,,1263,ENGINEERING FOR ENGINEERING,14,15,5,5,12,12,0.36,10,11,2.59,40,9,10,56,12,14,11,11
01-Jun,CIB,DATA ENGINEERING,ANALYTICS,1142,GTB ANALYTICS,10,11,9,10,4,6,0.39,128.5,6,1.26,19.5,9,14,30,10,11,9,9
01-Aug,ESPANA,SYSTEMS ENGINEERING,RETAIL CUSTOMERS SYSTEMS,300,MOBILE CHANNEL,9,9,11,12,9,10,0.4,18.5,9,2.05,22,12,13,19,10,14,14,14
01-Jul,COLOMBIA,SYSTEMS ENGINEERING,CORE,565,PERSONAS Y ARQ. HOST,4,4,10,10,12,12,0.13,75.5,10,2.85,32,3,4,108,11,11,10,10
01-Jun,ARGENTINA,SYSTEMS ENGINEERING,TRANSFORMACION Y CALIDAD OPERATIVA,30,DEVOPS AR,14,15,10,10,13,13,0.46,18,12,1.33,37.5,14,15,69,14,15,4,4
01-Jul,ARGENTINA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS,47,CF02 COMPLIANCE,14,14,14,15,10,10,0.32,57,9,1.21,4,4,6,61.5,5,6,9,9
01-Jul,CFE,AUD.LEGAL&CHAIRMAN UNITS,,1262,COMMS,4,4,14,15,13,14,0.5,32.5,12,2.47,27,9,11,68.5,8,9,9,9
01-Aug,ARGENTINA,SYSTEMS ENGINEERING,SWF VINCULADAS,79,AM04 CONSUMER FINANCE,9,9,9,10,10,12,0.4,17.5,12,1.89,42.5,11,13,23,13,14,12,12
01-Jul,ESPANA,SYSTEMS ENGINEERING,CORPORATE FUNCTIONS SYSTEMS,294,SSJJ Y OTROS,12,13,5,5,11,12,0.36,36.5,10,1.15,23,11,14,29.5,6,8,9,9
01-Jun,CIB,SW DELIVERY,GTB & IB&F,1193,IB&F,14,15,7,7,11,11,0.72,2.5,8,1.38,35.5,12,14,7,10,10,15,15
01-Jul,VENEZUELA,SYSTEMS,CORPORATE FUNCTIONS,694,TALENT & CULTURE,7,8,7,7,10,15,1.21,19.5,11,1.75,10,4,4,116.5,12,12,8,8
01-Jul,CFE,AUD.LEGAL&CHAIRMAN UNITS,,1266,OTHERS NO CFE,5,6,5,5,13,13,0.17,29.5,13,2.61,27.5,13,15,84,13,13,11,11
01-Aug,CFE,AUD.LEGAL&CHAIRMAN UNITS,,1263,ENGINEERING FOR ENGINEERING,11,11,11,12,10,14,0.13,39,14,2.15,24,12,12,62.5,11,14,14,14
01-Jul,ESPANA,SYSTEMS ENGINEERING,RETAIL CUSTOMERS SYSTEMS,301,OPEN BANKING,13,14,8,9,9,10,0.02,60,6,1.31,12,6,6,20,4,5,12,12
01-Jun,PERU,SYSTEMS,RETAIL,762,ATMS Y AUTOSERVICIOS,10,10,10,11,9,12,0.24,1,7,1.65,15.5,5,6,111,12,12,9,9
